bp_account,gps_change
130****2834,0.0
130****4253,0.0
130****4349,0.0
130****7398,0.0
130****8766,0.0
131****0131,0.0
131****2324,0.0
131****3198,0.0
131****5238,0.0
131****5999,0.0
131****9509,0.0
132****4773,0.0
132****7881,0.0
132****9636,0.0
133****0006,0.0
133****0012,0.0
133****0055,0.0
133****0070,0.0
133****0077,0.0
133****0082,0.0
133****0145,0.0
133****0179,0.0
133****0180,0.0
133****0181,5685.19686658383
133****0189,0.0
133****0191,0.0
133****0218,0.0
133****0236,0.0
133****0255,0.0
133****0288,0.0
133****0311,0.0
133****0331,0.0
133****0336,0.0
133****0369,0.0
133****0370,0.0
133****0381,0.0
133****0386,0.0
133****0422,0.0
133****0465,0.0
133****0512,0.0
133****0536,0.0
133****0547,0.0
133****0567,0.0
133****0582,0.0
133****0595,0.0
133****0601,0.0
133****0622,0.0
133****0652,0.0
133****0658,0.0
133****0670,0.0
133****0694,0.0
133****0708,0.0
133****0751,5.713392826559988
133****0760,0.0
133****0768,0.0
133****0778,0.0
133****0783,0.0
133****0785,0.0
133****0786,0.0
133****0802,0.0
133****0856,0.0
133****0879,0.0
133****0883,0.0
133****0888,0.0
133****0955,0.0
133****0958,0.0
133****0960,0.0
133****0972,0.0
133****0978,0.0
133****0980,0.0
133****0998,0.0
133****1006,0.0
133****1028,0.0
133****1033,6585.645063063199
133****1055,0.0
133****1061,0.0
133****1068,0.0
133****1095,0.0
133****1112,0.0
133****1117,0.0
133****1143,0.0
133****1152,0.0
133****1160,0.0
133****1165,0.0
133****1180,0.0
133****1183,0.0
133****1207,0.0
133****1230,0.0
133****1240,0.0
133****1281,0.0
133****1301,0.0
133****1315,0.0
133****1316,54.27201004799999
133****1338,0.0
133****1341,0.0
133****1377,0.0
133****1388,0.0
133****1395,0.0
133****1409,0.0
133****1473,0.0
133****1481,0.0
133****1488,0.0
133****1497,0.0
133****1498,0.0
133****1503,0.0
133****1624,0.0
133****1628,0.0
133****1646,0.0
133****1659,0.0
133****1695,0.0
133****1717,0.0
133****1726,0.0
133****1740,0.0
133****1747,0.0
133****1759,0.0
133****1783,0.0
133****1788,0.0
133****1801,0.0
133****1816,0.0
133****1821,0.0
133****1863,0.0
133****1896,0.0
133****1916,0.0
133****1951,0.0
133****1965,0.0
133****1984,0.0
133****2007,0.0
133****2008,0.0
133****2030,0.0
133****2076,0.0
133****2100,0.0
133****2101,0.0
133****2113,0.0
133****2181,0.0
133****2186,0.0
133****2221,0.0
133****2226,0.0
133****2227,0.0
133****2240,0.0
133****2305,0.0
133****2331,0.0
133****2340,0.0
133****2366,0.0
133****2383,3933.7825770802
133****2391,0.0
133****2424,0.0
133****2444,0.0
133****2450,0.0
133****2475,0.0
133****2502,16.574081670160016
133****2555,0.0
133****2580,0.0
133****2596,0.0
133****2621,0.0
133****2627,0.0
133****2638,0.0
133****2656,0.0
133****2682,0.0
133****2705,0.0
133****2721,0.0
133****2741,0.0
133****2848,0.0
133****2922,0.0
133****2988,0.0
133****3041,0.0
133****3073,0.0
133****3074,0.0
133****3090,0.0
133****3112,0.0
133****3162,0.0
133****3210,0.0
133****3212,0.0
133****3229,0.0
133****3294,0.0
133****3298,0.0
133****3301,0.0
133****3318,0.0
133****3335,0.0
133****3359,0.0
133****3379,0.0
133****3393,0.0
133****3397,0.0
133****3455,0.0
133****3529,0.0
133****3608,0.0
133****3626,0.0
133****3640,0.0
133****3692,0.0
133****3704,0.0
133****3719,0.0
133****3725,0.0
133****3730,0.0
133****3750,0.0
133****3767,0.0
133****3805,0.0
133****3810,0.0
133****3839,0.0
133****3845,0.0
133****3877,0.0
133****3879,0.0
133****3972,0.0
133****3979,0.0
133****3988,0.0
133****4000,0.0
133****4125,0.0
133****4177,0.0
133****4270,0.0
133****4295,0.0
133****4313,5.020999436605036
133****4320,0.0
133****4332,0.0
133****4380,0.0
133****4389,0.0
133****4445,0.0
133****4489,0.0
133****4526,0.0
133****4545,0.0
133****4626,0.0
133****4777,0.0
133****4792,0.0
133****4898,0.0
133****4901,0.0
133****4912,0.0
133****4916,0.0
133****4940,0.0
133****4950,0.0
133****4999,0.0
133****5000,0.0
133****5051,0.0
133****5101,0.0
133****5108,0.0
133****5123,0.0
133****5131,0.0
133****5140,0.0
133****5176,0.0
133****5185,119.42284673126404
133****5215,0.0
133****5252,0.0
133****5279,0.0
133****5323,0.0
133****5362,0.0
133****5367,0.0
133****5382,0.0
133****5384,0.0
133****5391,0.0
133****5395,0.0
133****5414,0.0
133****5424,0.0
133****5428,0.0
133****5467,0.0
133****5505,0.0
133****5538,2.4916585414599957
133****5562,6.433248310200003
133****5567,0.0
133****5577,0.0
133****5589,0.0
133****5620,0.0
133****5622,0.0
133****5630,0.0
133****5665,0.0
133****5666,0.0
133****5674,0.0
133****5675,0.0
133****5684,0.0
133****5695,0.0
133****5701,0.0
133****5751,0.0
133****5778,0.0
133****5837,0.0
133****5865,0.0
133****5880,0.0
133****5885,0.0
133****5903,0.0
133****5909,4208.3155558608005
133****5936,0.0
133****5966,0.0
133****5978,0.0
133****6001,0.0
133****6007,0.0
133****6036,0.0
133****6150,0.0
133****6163,0.0
133****6181,0.0
133****6212,0.0
133****6218,0.0
133****6222,0.0
133****6276,0.0
133****6279,0.0
133****6294,0.0
133****6335,0.0
133****6338,0.0
133****6350,0.0
133****6413,0.0
133****6421,0.0
133****6500,0.0
133****6503,0.0
133****6508,0.0
133****6527,0.0
133****6533,0.0
133****6558,0.0
133****6595,0.0
133****6601,0.0
133****6663,0.0
133****6689,0.0
133****6711,0.0
133****6725,0.0
133****6769,0.0
133****6770,0.0
133****6795,0.0
133****6818,0.0
133****6855,0.0
133****6866,0.0
133****6889,0.0
133****6896,0.0
133****6908,0.0
133****6921,0.0
133****6958,0.0
133****6969,0.0
133****6981,0.0
133****6996,0.0
133****7003,0.0
133****7027,0.0
133****7111,0.0
133****7167,0.0
133****7176,0.0
133****7187,0.0
133****7228,0.0
133****7266,0.0
133****7273,3836.627383653219
133****7303,0.0
133****7335,0.0
133****7388,0.0
133****7389,0.0
133****7444,0.0
133****7452,0.0
133****7508,0.0
133****7522,0.0
133****7556,0.0
133****7575,0.0
133****7607,18.86006965304997
133****7611,0.0
133****7623,0.0
133****7625,0.0
133****7638,0.0
133****7682,0.0
133****7687,0.0
133****7700,4025.657064
133****7711,0.0
133****7725,0.0
133****7765,0.0
133****7773,0.0
133****7788,0.0
133****7798,28.247621609325037
133****7816,0.0
133****7817,0.0
133****7834,0.0
133****7837,0.0
133****7848,0.0
133****7871,0.0
133****7875,0.0
133****7876,0.0
133****7879,0.0
133****7903,0.0
133****7916,0.0
133****7918,0.0
133****8028,0.0
133****8078,0.0
133****8079,0.0
133****8080,0.0
133****8102,0.0
133****8104,0.0
133****8106,0.0
133****8117,0.0
133****8131,0.0
133****8181,0.0
133****8189,0.0
133****8191,0.0
133****8229,0.0
133****8234,0.0
133****8298,0.0
133****8306,3613.8562528887
133****8323,0.0
133****8336,0.0
133****8388,0.0
133****8399,0.0
133****8416,0.0
133****8455,0.0
133****8506,0.0
133****8523,0.0
133****8581,0.0
133****8599,0.0
133****8606,0.0
133****8633,0.0
133****8635,0.0
133****8687,0.0
133****8777,0.0
133****8792,0.0
133****8804,0.0
133****8809,0.0
133****8828,0.0
133****8850,0.0
133****8855,0.0
133****8856,0.0
133****8859,0.0
133****8865,0.0
133****8866,0.0
133****8873,0.0
133****8938,0.0
133****8963,0.0
133****8967,0.0
133****8972,0.0
133****8982,0.0
133****8985,0.0
133****8990,0.0
133****8991,0.0
133****8996,0.0
133****9065,0.0
133****9073,0.0
133****9085,0.0
133****9101,0.0
133****9112,0.0
133****9118,0.0
133****9138,321.41167421862025
133****9155,0.0
133****9159,0.0
133****9162,0.0
133****9166,0.0
133****9195,0.0
133****9239,0.0
133****9272,0.0
133****9278,0.0
133****9281,0.0
133****9286,0.0
133****9299,0.0
133****9310,0.0
133****9319,0.0
133****9333,0.0
133****9351,0.0
133****9356,0.0
133****9419,0.0
133****9484,0.0
133****9523,0.0
133****9587,0.0
133****9627,0.0
133****9630,0.0
133****9665,0.0
133****9676,0.0
133****9696,0.0
133****9712,0.0
133****9727,0.0
133****9747,0.0
133****9839,0.0
133****9866,0.0
133****9876,0.0
133****9882,0.0
