imei,count
"""000000000000000""",1
"""000010898405120""",1
"""351952080251116""",1
"""351952086336614""",1
"""352097090075607""",1
"""35234408113090""",1
"""352562075845431""",1
"""352575070367375""",1
"""352709081710121""",1
"""352709082574591""",1
"""352709083491381""",1
"""352709084565589""",1
"""352713095408037""",1
"""352713097032736""",1
"""353114081926638""",1
"""353280081046105""",1
"""353460080819211""",1
"""353460081972282""",1
"""353460083122704""",1
"""353952072970317""",1
"""354039070461165""",1
"""354039071527535""",1
"""354268096154591""",1
"""354281051452413""",1
"""35460207101409""",1
"""35460207128460""",1
"""35460207381966""",1
"""35460207793497""",1
"""354730085496549""",1
"""354732081631376""",1
"""354732084494004""",1
"""354732084591882""",1
"""354732085060200""",1
"""354732085770493""",1
"""354763080433399""",1
"""354765084049865""",1
"""354765084150762""",1
"""355021060226328""",1
"""355085082018153""",1
"""355300076621585""",1
"""355309073907699""",1
"""355546053879030""",1
"""355757010629125""",1
"""355757019216205""",1
"""355905071836374""",1
"""355905072229595""",1
"""356156072754229""",2
"""356645090584899""",1
"""357058091429958""",1
"""357107071053476""",1
"""357404070585420""",1
"""357556062468319""",1
"""357612083428947""",1
"""357759083742742""",1
"""358166076416665""",1
"""35821107185815""",1
"""358314070857357""",1
"""358520080522555""",1
"""358522080853469""",1
"""358522089622105""",1
"""358530082338603""",1
"""358695072492056""",1
"""358695073041803""",1
"""358695073997665""",1
"""358811070929003""",2
"""358811076240017""",1
"""359274071580151""",1
"""359274073210955""",1
"""359583070156775""",1
"""359583073468656""",1
"""359583073858369""",1
"""359583075715203""",1
"""359583079086197""",1
"""359596067874010""",1
"""359942073455263""",1
"""359942075901876""",1
"""359942075981183""",1
"""8026889E""",1
"""860074450508662""",1
"""860076034568617""",1
"""860076036193034""",1
"""860076037419834""",1
"""860077032789999""",1
"""860121037210484""",1
"""860121037893594""",1
"""860172044898951""",1
"""860172047219510""",1
"""860187041185772""",1
"""860191030409763""",1
"""860219047700666""",1
"""860261631510713""",1
"""860268034643181""",1
"""860270039963416""",1
"""860273031363718""",1
"""860286036642639""",1
"""860303044852710""",1
"""860360040134774""",1
"""860391042094690""",1
"""860440038860273""",1
"""860441030897032""",1
"""860461030091436""",1
"""860477043497477""",1
"""860477045337713""",1
"""860482036230547""",1
"""860482038517800""",1
"""860525047980573""",1
"""860596036108708""",1
"""860596036207617""",1
"""860635037828854""",1
"""860662031898170""",2
"""860666047009094""",1
"""860716038276739""",1
"""860718034094025""",1
"""860729031083986""",1
"""860735035910736""",1
"""860735037517034""",1
"""860737037759152""",1
"""860758042663437""",1
"""860778036350718""",1
"""860797034128322""",1
"""860827027682017""",1
"""860916036224224""",1
"""860965032751037""",1
"""860980033716160""",1
"""860980036966986""",1
"""860983030770453""",1
"""860983031021062""",1
"""861006030869569""",1
"""861010032965052""",1
"""861025045005779""",2
"""861062033027689""",1
"""861063043462189""",2
"""861063049274356""",1
"""861065031246755""",1
"""861065032308687""",2
"""861065034209164""",1
"""861075034186940""",1
"""861076038166334""",1
"""861078034891766""",1
"""861079033447170""",1
"""861079038891794""",1
"""861106031556247""",1
"""861110037781569""",1
"""861138040832798""",1
"""861138044245757""",1
"""861141033981960""",1
"""861141037759982""",1
"""861144043883416""",1
