180****1683,"""862679038018071"""
199****1410,"""867855027963825"""
153****1990,"""862552036684618"""
189****2811,"""A0000071EECB2D"""
153****0300,"""863523035136313"""
189****8126,"""A1000058A9B9C1"""
153****9129,0
159****0213,"""864128038126243"""
183****9292,"""866932036517891"""
153****2872,"""868551038505247"""
153****0288,"""869902044354519"""
153****0902,"""A0000073A4CE2C"""
133****3298,"""866049030927800"""
180****4905,"""99000967166095"""
180****4973,"""865968037764430"""
177****2708,"""864178035460871"""
173****9827,"""86537103093292"""
177****0927,"""868241034368739"""
166****9167,"""862668037409126"""
153****1245,"""869150039348050"""
189****0692,"""A10000547F96D2"""
180****0669,"""867007039131187"""
180****3823,"""A00000649C6F2A"""
180****1771,"""865580035079875"""
133****6770,"""864854040638574"""
153****5319,"""A000008755E64C"""
153****9294,"""A100000D280136"""
173****0283,"""868843041511142"""
189****3082,"""99001211585934"""
199****5792,"""A100005560DFDB"""
159****3525,"""868823031236298"""
153****6191,0
181****1376,0
136****8069,"""862467033798354"""
133****8229,"""865786044611182"""
177****4990,0
199****5420,"""99000763108235"""
187****1234,0
153****5364,"""865959048684832"""
181****8426,"""864889038729506"""
199****7174,"""860273031363718"""
199****3003,"""862966030794696"""
182****5187,"""863437038935631"""
180****9535,"""99000761973449"""
133****0670,"""A00000554D7DBE"""
189****2286,"""a0000059ac07b3"""
181****2141,"""868392030784252"""
133****8996,"""358522080853469"""
180****6563,"""862534036640113"""
180****7955,"""867620022184102"""
181****3344,"""A000007209212C"""
133****5567,0
189****4458,"""A000006EDA3783"""
133****5837,"""354732081631376"""
153****3696,"""864621034447449"""
153****8587,"""A00000705F5457"""
199****2940,"""A1000037c60205"""
177****3888,"""867472035332975"""
180****1212,"""864193039895782"""
181****8949,"""864256032849971"""
187****3796,"""864738033036690"""
152****8435,"""861749036024115"""
181****8702,"""866568031332967"""
133****2305,"""867138033954090"""
189****4842,"""868082031125676"""
173****0509,"""866946025199446"""
180****0621,"""864243031458715"""
153****9365,"""A000008D89D6D5"""
133****5108,"""A100004E4772B6"""
153****9949,"""867540035364436"""
177****6513,"""861144043883416"""
153****9689,"""864590035072425"""
180****6453,"""A1000055A66A20"""
177****8884,"""A0000071AB81A4"""
133****8455,"""864295036028893"""
153****7156,"""99001211791497"""
181****9370,"""866350037093913"""
180****0512,"""A100005558C762"""
189****2111,"""867928048627933"""
180****8898,"""863673046903076"""
177****0221,"""860441030897032"""
133****7879,"""862231037724315"""
133****2383,"""865830037587643"""
181****4254,"""865579039299430"""
133****7303,"""861602039346375"""
133****8828,0
133****3877,"""A0000089964055"""
189****7683,"""A0000073F73414"""
181****5870,"""866491038880393"""
180****2995,"""865481031496561"""
133****0760,"""865866039261134"""
155****2901,"""866934038480755"""
133****6276,"""864248039532932"""
133****6711,"""A000008AF42D69"""
189****6030,"""865709034967695"""
180****2735,"""99000939927369"""
133****2638,"""865762032459835"""
189****8303,"""867557031122139"""
133****5665,"""867536031064236"""
180****3824,"""A000008D7FADBD"""
177****8990,"""864588034921063"""
133****5909,"""868375036643192"""
181****0904,"""866637030893814"""
189****8052,"""863603037895858"""
177****0909,"""866355036144492"""
173****2237,"""865969031883218"""
177****9996,"""865411033700686"""
199****2443,"""868859049407174"""
153****0736,"""863197039304357"""
189****1418,"""862455035103491"""
133****5215,"""355085082018153"""
134****3811,"""865581038789460"""
189****8536,"""868062021610010"""
180****2015,"""868802049168693"""
181****0987,"""A00000703C2847"""
180****7559,"""A00000785D2826"""
156****6545,"""868496034952995"""
153****8847,0
189****0799,"""869233038853997"""
180****1212,0
189****0177,"""A0000089C55A4A"""
133****6889,0
153****0860,"""862770035521660"""
199****3507,"""864315034391737"""
153****4518,"""866369036651216"""
181****8817,"""864299032008016"""
181****5005,"""866445033189135"""
182****8109,"""869718027888301"""
133****1160,"""862585032306505"""
180****6156,"""A0000091E28BB4"""
189****9123,0
189****3753,"""866778030259901"""
177****5732,"""863263038603304"""
153****7192,"""864277030717846"""
153****4518,"""865734030366817"""
133****1165,"""864738036099562"""
133****7700,"""869377032920730"""
153****7556,"""A000007080D3EC"""
158****7273,"""869718021197998"""
177****3238,"""A00000740A82CE"""
180****3786,"""868550038239062"""
158****2591,"""A00000717B213E"""
177****1672,"""A00000647E22F3"""
153****0043,"""990010041472722"""
133****9162,"""99001080390490"""
189****1782,"""865320032362838"""
133****1726,0
189****3208,"""A100004C020299"""
181****5240,"""863709035379355"""
133****4313,"""866229030075574"""
153****8269,"""869497039540933"""
153****5431,"""865214038441813"""
177****1939,0
180****0004,"""A000008819458F"""
173****1902,"""869477020401048"""
189****8589,"""862023032971599"""
180****8589,0
133****1821,"""865631033112513"""
189****3357,0
181****7308,"""A100005584AD1E"""
189****9813,"""A00000625DFDDE"""
180****7657,"""864679044108088"""
181****0122,"""A0000061AABB9C"""
181****0638,"""A0000089F63A69"""
180****8734,"""862681033020094"""
173****3997,"""867540034247145"""
189****1516,"""868228033689942"""
153****2006,"""A000004F90B04B"""
153****9823,"""865809034415990"""
189****6767,"""862982032467413"""
173****6254,"""354732084494004"""
199****4025,"""A1000030da4d71"""
180****9219,"""867478038479598"""
180****3048,"""862078045513598"""
133****4898,"""864248035041821"""
180****5998,"""865861045105698"""
180****9695,"""866348049848704"""
189****1489,"""866402030072806"""
181****6875,"""99001021475914"""
153****3434,"""A0000071F9FDCB"""
199****8208,"""866341038124120"""
173****1640,"""A00000725C1E5A"""
153****3582,"""864692032217878"""
185****5685,"""860482036230547"""
199****0635,"""866190031679915"""
133****7798,"""866935037934650"""
189****2559,"""99000581338714"""
189****5569,"""A100005C6DABAB"""
133****7788,0
133****8336,"""99001251164681"""
133****0288,"""99000300267728"""
180****7131,"""865951030085433"""
189****1235,"""863818039803599"""
189****3381,"""A00000642FFB76"""
177****3873,"""99001010129041"""
153****0628,"""869741047358592"""
153****7910,"""861757032051677"""
181****6100,"""A00000703BF54B"""
189****8336,"""A0000074E9A272"""
173****5645,"""867216031736832"""
153****1070,"""869741039969042"""
133****8633,"""863127036734058"""
177****4938,"""869066035860213"""
199****2970,"""864651038275488"""
199****8517,"""868520032683888"""
153****0041,"""865772035071750"""
133****8687,"""a0000059940d99"""
153****5900,"""A10000564D29FC"""
